Question_ID,Question_Version,Level,Topic_Code,LO_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Answer_Explanation,Probe_Type,TLG_Key_Idea_Ref,Alternative_Conception_Ref,Diagnostic_Use,Review_Status,Source_Note,Teacher_Notes,Times_Used,Last_Used,Created_Date,Approved_Date,Approved_By
P3_DIV_LNL_P01_Q03,3,P3,P3-DIV-LNL,P3-DIV-LNL-P01,"A pupil records that Object X needs water, grows, responds to light and produces young. What does this show about Object X?",Object X is non-living because it did not move from place to place.,Object X must be an animal.,Object X is living.,There is not enough evidence because only colour can show whether something is living.,C,These observations match several characteristics of living things.,Application,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_P02_Q01,3,P3,P3-DIV-LNL,P3-DIV-LNL-P02,Animal X has feathers and a beak. Animal Y has moist skin and can live on land and in water. How should they be classified?,X as an insect; Y as a fish,X as a mammal; Y as a reptile,X as a fish; Y as a bird,X as a bird; Y as an amphibian,D,"X has the characteristics of a bird, while Y has the characteristics of an amphibian.",Application,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_P02_Q02,3,P3,P3-DIV-LNL,P3-DIV-LNL-P02,"A pupil groups a fern and a flowering plant together because both have roots, stems and leaves. What should the pupil use to separate them into two plant groups?",Whether they produce flowers,Whether they are green,Whether they need water,Whether they grow taller,A,Flowering plants produce flowers; non-flowering plants do not.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_LNL_P02_Q03,3,P3,P3-DIV-LNL,P3-DIV-LNL-P02,A spider has eight legs. A pupil groups it with insects because both are small animals. What is wrong with the grouping?,All small animals are insects.,It ignores important observable differences such as the number of legs.,"Spiders are plants, not animals.",The colour of the spider is the only feature that matters.,B,"Living things should be classified using important observable characteristics, not just size.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_MAT_C01_Q01,2,P3,P3-DIV-MAT,P3-DIV-MAT-C01,Why is glass suitable for many windows?,It bends easily without breaking.,It absorbs water readily.,It allows most light to pass through.,It is attracted strongly by magnets.,C,A window material is useful when it allows most light to pass through.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_MAT_C01_Q02,2,P3,P3-DIV-MAT,P3-DIV-MAT-C01,A raincoat must keep the wearer dry and still allow easy movement. Which material is most suitable?,An absorbent fabric that soaks up water,A stiff ceramic sheet,A sheet that breaks easily when bent,A flexible waterproof material such as plastic,D,The useful properties are flexibility and being waterproof.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_MAT_C01_Q03,2,P3,P3-DIV-MAT,P3-DIV-MAT-C01,A pupil says a material must be strong if it is stiff. Which statement is correct?,Strength and flexibility are different properties and must be tested separately.,Every stiff material is strong.,Every flexible material is weak.,Only metals can be strong.,A,"Strength concerns resisting loads without breaking, while flexibility concerns bending without breaking.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_MAT_C01_Q04,2,P3,P3-DIV-MAT,P3-DIV-MAT-C01,A cup must hold water without absorbing it. Which property is most important?,It should float on water.,It should be waterproof.,It should allow most light to pass through.,It should bend easily.,B,"A waterproof material does not absorb water, which is essential for a cup.",Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_MAT_P01_Q01,2,P3,P3-DIV-MAT,P3-DIV-MAT-P01,Four strips of material are tested by hanging identical masses from them until they break. What property is being compared?,Flexibility,Ability to float on water,Strength,Transparency,C,The test compares how much load each material can support before breaking.,Application,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_MAT_P01_Q02,3,P3,P3-DIV-MAT,P3-DIV-MAT-P01,A pupil bends equal-sized strips of four materials through the same angle. What property is being compared?,Strength,Whether it is waterproof,Ability to float on water,Flexibility,D,Flexibility is the ability to bend without breaking.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_DIV_MAT_P01_Q03,2,P3,P3-DIV-MAT,P3-DIV-MAT-P01,A large wooden block floats while a small steel clip sinks. What can the pupil conclude from this observation?,Size alone does not determine whether an object floats or sinks.,All large objects float.,All small objects sink.,Weight is the only property that matters.,A,The observation shows that size alone cannot explain floating and sinking.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_C01_Q01,2,P3,P3-CYC-LC,P3-CYC-LC-C01,Which statement about life cycles is correct?,All living things have exactly the same stages.,Different living things can have different stages in their life cycles.,Only animals have life cycles.,A life cycle ends before an organism becomes an adult.,B,"Plants and animals have life cycles, and the stages can differ among organisms.",Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_C01_Q02,2,P3,P3-CYC-LC,P3-CYC-LC-C01,"Plant X has the stages seed, young plant and adult plant. Animal Y has egg, young and adult stages. What does this comparison show?",Plants do not have life cycles.,Only animals begin life in a young stage.,Different living things can have different life-cycle stages.,Every life cycle must have a pupa stage.,C,The two sequences show that life cycles vary among different living things.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_C01_Q03,2,P3,P3-CYC-LC,P3-CYC-LC-C01,A pupil says every animal must have a pupa stage. Which example best disproves the claim?,A butterfly has a pupa stage.,A beetle has a pupa stage.,A mosquito has a pupa stage.,A chicken develops from egg to chick to adult without a pupa stage.,D,Some animals have three-stage life cycles and do not have a pupa stage.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_C01_Q04,2,P3,P3-CYC-LC,P3-CYC-LC-C01,Why is producing a new generation an important part of a life cycle?,It allows the kind of living thing to continue.,It stops the adult from needing food.,It changes an animal into a plant.,It makes all young look exactly like their parents.,A,Reproduction allows a kind of living thing to continue from one generation to the next.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_P01_Q01,2,P3,P3-CYC-LC,P3-CYC-LC-P01,A pupil grows bean plants from seeds and records their appearance each week. Which sequence should the pupil expect to observe?,"Adult plant, seed, young plant","Seed, young plant, adult plant","Young plant, adult plant, seed before any adult forms","Seed, pupa, adult plant",B,"The P3 focus is on observing the stages seed, young plant and adult plant.",Application,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_P01_Q02,2,P3,P3-CYC-LC,P3-CYC-LC-P01,Two flowering plants were planted from seeds on the same day. One is taller after four weeks. Which record would best help compare their life cycles fairly?,Only the final height of one plant,The colour of the pots only,Regular observations of the stage each plant reaches over the same period,The number of people who watered them,C,Comparing repeated observations over the same period shows how each plant progresses through its stages.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_P01_Q03,2,P3,P3-CYC-LC,P3-CYC-LC-P01,A pupil observes a flowering plant only once and sees no flowers. Why should the pupil avoid concluding that it will never become an adult flowering plant?,A plant has no life cycle until it flowers.,All young plants already have flowers.,The presence of soil decides whether a plant is adult.,A single observation may not show all stages of its life cycle.,D,Life cycles are observed over time; one moment may show only one stage.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_P02_Q01,2,P3,P3-CYC-LC,P3-CYC-LC-P02,"Which animal has a three-stage life cycle of egg, young and adult?",Cockroach,Butterfly,Beetle,Mosquito,A,Cockroaches have a three-stage life cycle with a nymph as the young stage.,Application,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_P02_Q02,2,P3,P3-CYC-LC,P3-CYC-LC-P02,"A pupil observes egg, larva, pupa and adult stages. Which kind of life cycle is being observed?",A three-stage animal life cycle,A four-stage animal life cycle,A plant life cycle,A life cycle with no young stage,B,Egg-larva-pupa-adult is a four-stage animal life cycle.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_CYC_LC_P02_Q03,2,P3,P3-CYC-LC,P3-CYC-LC-P02,A grasshopper nymph looks similar to an adult but is smaller and has no fully developed wings. What does this show?,Every young insect is a caterpillar.,A nymph is a pupa that cannot move.,"In some three-stage life cycles, the young resembles the adult.",All insects have four stages.,C,Nymphs in three-stage insect life cycles resemble smaller versions of the adult.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C01_Q01,2,P3,P3-INT-MAG,P3-INT-MAG-C01,What can a magnet do to another magnet or a magnetic material?,It can only pull.,It can only push.,It must touch before any force can act.,It can exert a push or a pull.,D,Magnetic force can be a push or a pull.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C01_Q02,2,P3,P3-INT-MAG,P3-INT-MAG-C01,Two like poles of bar magnets are brought close together. What happens?,The magnets push away from each other.,The magnets pull together.,Nothing happens unless they touch.,Both magnets lose their magnetism immediately.,A,"Like poles repel, so the magnetic force is a push.",Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C01_Q03,3,P3,P3-INT-MAG,P3-INT-MAG-C01,A steel paper clip moves towards a magnet before touching it. What does this show?,The table pushed the clip towards the magnet.,A magnet can pull a magnetic material from a distance.,Magnetic force works only after contact.,The clip became a magnet before it moved.,B,The clip moves before touching the magnet. This shows that a magnet can pull a magnetic material from a distance.,Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C01_Q04,2,P3,P3-INT-MAG,P3-INT-MAG-C01,Which situation shows a magnetic push?,A magnet picks up an iron nail.,A magnet attracts the south pole of another magnet.,The north pole of one magnet is brought near the north pole of another.,A steel clip moves towards a magnet.,C,"Like poles repel, producing a push.",Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C02_Q01,2,P3,P3-INT-MAG,P3-INT-MAG-C02,Which statement about a bar magnet is correct?,It has only one pole.,Its strongest part is always the middle.,It attracts every metal.,It has two poles.,D,A magnet has two poles; magnetic attraction depends on the material.,Direct concept,,,Topic,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C02_Q02,2,P3,P3-INT-MAG,P3-INT-MAG-C02,A freely suspended bar magnet is allowed to stop moving. In which direction will it settle?,North-South,East-West,Up-Down,Any random direction each time,A,A freely suspended bar magnet comes to rest in a North-South direction.,Application,,,Pre-WA,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C02_Q03,2,P3,P3-INT-MAG,P3-INT-MAG-C02,A pupil says all metals are attracted to magnets. Which observation would show the pupil is wrong?,Two steel objects are attracted.,A copper object is not attracted while a steel object is attracted.,An iron nail is attracted.,A magnet has two poles.,B,"Not all metals are magnetic; steel and iron are magnetic materials, while copper is not.",Misconception probe,,,EOY,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
P3_INT_MAG_C02_Q04,2,P3,P3-INT-MAG,P3-INT-MAG-C02,What happens when the north pole of one bar magnet is brought near the south pole of another?,They repel.,They lose both poles.,They attract.,They do not interact.,C,Unlike poles attract.,Application,,,Any,Approved,"Assessment-focused rebuild aligned to official LO_ID and scope notes in the P3–P6 Standard Science Curriculum Mastery Map. Standard Bank v1: audited against the MOE Primary Science Syllabus and uploaded TLGs for curriculum scope, age-appropriate language and diagnostic quality. Standard Bank v1: MOE age/scope audit 2026-09-05.",,0,,2026-09-01,2026-09-05,Sci Diagnostic MOE Scope & Language Audit
