LO_ID,Level,Topic_Code,Official_Domain,Official_Learning_Outcome,Before_Questions,New_Questions_Added,After_Questions,Strengthening_Note
P5-SYS-ELEC-C02,P5,P5-SYS-ELEC,Core Ideas,Show an understanding that a closed circuit allows current to flow.,4,1,5,"Added TLG-grounded misconception/application probe targeting: In an open circuit, current flows to the part where there is a gap and 'turns back' to the battery."
P5-SYS-ELEC-C03,P5,P5-SYS-ELEC,Core Ideas,Identify electrical conductors and insulators.,4,0,4,
P5-SYS-ELEC-P01,P5,P5-SYS-ELEC,Practices,Construct simple circuits from circuit diagrams.,3,1,4,Added TLG-grounded application
P5-SYS-ELEC-P02,P5,P5-SYS-ELEC,Practices,Investigate the effect of some variables on the current in a circuit.,3,2,5,Added TLG-grounded application | Added TLG-grounded misconception/application probe targeting: Brightness of each bulb decreases when an additional bulb is connected in parallel circuits.
P6-ENE-PHOTO-C01,P6,P6-ENE-PHOTO,Core Ideas,Recognise that living things need energy from respiration to carry out life processes.,4,1,5,Added TLG-grounded misconception/application probe targeting: Respiration is the same as breathing.
P6-ENE-PHOTO-C02,P6,P6-ENE-PHOTO,Core Ideas,Recognise that the Sun is our primary source of energy (light and heat).,4,0,4,
P6-ENE-PHOTO-C03,P6,P6-ENE-PHOTO,Core Ideas,Differentiate between the ways in which plants and animals obtain energy.,4,0,4,
P6-ENE-PHOTO-P01,P6,P6-ENE-PHOTO,Practices,"Investigate the requirements (water, light energy and carbon dioxide) for photosynthesis (production of sugar and oxygen).",4,0,4,
P6-ENE-CONV-C01,P6,P6-ENE-CONV,Core Ideas,Recognise that energy from most of our energy resources is derived in some ways from the Sun.,4,0,4,
P6-ENE-CONV-C02,P6,P6-ENE-CONV,Core Ideas,Recognise and give examples of the various forms of energy.,6,0,6,
P6-ENE-CONV-P01,P6,P6-ENE-CONV,Practices,Investigate energy conversion from one form to another.,3,1,4,Added TLG-grounded misconception/application probe targeting: Forces and energy are the same. Energy can be converted into forces.
P6-INT-FORCE-C01,P6,P6-INT-FORCE,Core Ideas,Identify a force as a push or a pull.,4,1,5,Added TLG-grounded misconception/application probe targeting: Force only involves objects that are in contact with one another.
P6-INT-FORCE-C02,P6,P6-INT-FORCE,Core Ideas,Show an understanding of the effects of a force.,4,0,4,
P6-INT-FORCE-C03,P6,P6-INT-FORCE,Core Ideas,Recognise and give examples of the different types of forces.,4,0,4,
P6-INT-FORCE-C04,P6,P6-INT-FORCE,Core Ideas,Recognise that objects have weight because of the gravitational force acting on the object.,4,0,4,
P6-INT-FORCE-P01,P6,P6-INT-FORCE,Practices,Investigate the effect of frictional force on the motion of objects.,3,1,4,Added TLG-grounded application
P6-INT-FORCE-P02,P6,P6-INT-FORCE,Practices,Investigate the effects of elastic spring force.,3,1,4,Added TLG-grounded application
P6-INT-ENV-C01,P6,P6-INT-ENV,Core Ideas,Identify the factors that affect the survival of an organism.,4,0,4,
P6-INT-ENV-C02,P6,P6-INT-ENV,Core Ideas,Show an understanding of the effect on organisms when the environment becomes unfavourable (organisms adapt and survive; move to other places or die).,4,0,4,
P6-INT-ENV-C03,P6,P6-INT-ENV,Core Ideas,"Show an understanding of the energy pathway from the Sun through living things and identify the roles of various organisms (producers, consumers, predators, prey) in a food chain and a food web.",6,0,6,
P6-INT-ENV-C04,P6,P6-INT-ENV,Core Ideas,"Differentiate among organism, population and community.",4,0,4,
P6-INT-ENV-C05,P6,P6-INT-ENV,Core Ideas,"Show an understanding that different habitats support different communities (garden, field, pond, seashore, tree, mangrove swamp).",4,0,4,
P6-INT-ENV-C06,P6,P6-INT-ENV,Core Ideas,Show an understanding that adaptations serve to enhance survival and can be structural or behavioural.,5,0,5,
P6-INT-ENV-C07,P6,P6-INT-ENV,Core Ideas,Give examples of man’s impact (both positive and negative) on the environment.,4,0,4,
P6-INT-ENV-P01,P6,P6-INT-ENV,Practices,"Observe, collect and record information regarding the interacting factors within an environment.",4,0,4,
